text,retweetCount,replyCount,likeCount,quoteCount,viewCount,timestamp,bookmarkCount,quote,text_length
"RT @teslaeurope: S3XY vehicles 🤝 hot engineers 🥵

Our field quality engineers head to Dubai at the hottest time of the year for extreme hea…",1911,0,0,0,19,2023-05-10 18:19:07+00:00,0,,140
RT @Tesla: Vote at the 2023 Tesla Shareholder Meeting → https://t.co/CyAEPISeBg,1308,0,0,0,4,2023-05-10 06:38:52+00:00,0,,79
RT @Starlink: First passenger rail service in the world to adopt Starlink! 🛰️🚆,1510,0,0,0,23,2023-05-09 16:49:21+00:00,0,,78
RT @Tesla: The spice must flow https://t.co/yIw4qh8fvA,2641,0,0,0,8,2023-05-10 05:49:25+00:00,0,,54
"RT @TwitterMktg: ""Twitter has proven itself to be among the best, if not the best, platform for return on ad spend and conversion campaigns…",1014,0,0,0,12,2023-05-10 04:40:01+00:00,0,,140
"RT @shellenberger: Governments worldwide claim that ""hate incidents"" are rising, but they're not. Tolerance of racial, sexual, and religiou…",13943,0,0,0,13,2023-05-09 15:55:44+00:00,0,,140
"RT @Tesla: Increasing lithium refining capacity is critical to a sustainable energy economy—today, we're breaking ground on our in-house li…",3570,0,0,0,7,2023-05-08 21:09:47+00:00,0,,140
RT @Tesla: Tesla Lithium Groundbreaking Ceremony https://t.co/0MCiZvQLHl,2504,0,0,0,3,2023-05-08 19:54:17+00:00,0,,72
"RT @NASAUniverse: In the time it takes you to read this tweet, the expansion of the universe will carry this gorgeous spiral galaxy, called…",2529,0,0,0,8,2023-05-08 19:07:39+00:00,0,,140
RT @Tesla: Tesla Lithium Refinery groundbreaking will be streamed live on Twitter at 3 PM CDT,1498,0,0,0,12,2023-05-08 15:35:18+00:00,0,,93
RT @teslaeurope: First Model Y deliveries in Türkiye https://t.co/2ojoUUggHt,1193,0,0,0,13,2023-05-08 17:13:22+00:00,0,,76
"RT @HelpfulNotes: Automatically QTs @CommunityNotes that have been rated Helpful by contributors. To appear here, notes must have kept thei…",707,0,0,0,10,2023-05-07 10:00:16+00:00,0,,140
RT @AIFutureDesign: “A new philosophy of the future is needed. I believe it should be curiosity about the Universe – expand humanity to bec…,3168,0,0,0,6,2023-05-07 09:54:33+00:00,0,,140
RT @Starlink: Thank you to our 1.5M+ customers around the world! 🛰️🌎❤️ https://t.co/SDEyQ3RB5i,6098,0,0,0,22,2023-05-06 03:45:34+00:00,0,,94
RT @SpaceX: Dragon is go for docking https://t.co/P4ExAEDOAw,2073,0,0,0,3,2023-05-06 13:53:23+00:00,0,,60
"RT @Starlink: When you walk on to a plane with Starlink, the internet just works – it's that simple",1754,0,0,0,11,2023-05-05 18:55:48+00:00,0,,99
